app_name,data,star,avaliacoes_totais,downloads_totais
Parceria Condomínios,2025-03-26,"3,9",7,1000
GRUPO PARADIGMA SC,2025-03-26,,0,50
Orsegups - Meu Condomínio,2025-03-26,"4,4",342,10000
