app_name,plataforma,user_reviewer,date,stars,commentary,user_response,date_response,response
Orsegups - Meu Condomínio,google,Daniel Padilha Padilha Padilha,26/01/2025,2.0,"Começou dar falhas no sistema, não está mais abrindo portões, nem a porta do bloco.",,,
Orsegups - Meu Condomínio,google,leonir josé vicenzi,06/01/2025,5.0,"Fiquei muito satisfeito com o uso do Aplicativo. O principal é abrir portas, ver imagens.",,,
Orsegups - Meu Condomínio,google,-_- mdp,31/12/2024,5.0,Ótimo app,,,
Orsegups - Meu Condomínio,google,Fabricio,26/12/2024,4.0,"Até o presente momento o aplicativo está atendendo as expectativas prometidas, não tenho nada a reclamar tá sendo uma experiência boa.",,,
Orsegups - Meu Condomínio,google,Elvis Santos,20/12/2024,5.0,Muito bom mesmo,,,
